Year,Month,Day,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25
2013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,5,0.04,0.03,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0,0,0.02,0,0.01,0,0.02,0.02,0.04,0.02,0.05,0.03,0.03,0.02,0.02,0.05
2013,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,10,0.54,0.44,0.51,0.47,0.5,0.38,0.46,0.44,0.52,0.46,0.42,0.56,0.43,0.45,0.45,0.46,0.58,0.41,0.53,0.43,0.51,0.4,0.42,0.33,0.48
2013,1,11,0.3,0.22,0.25,0.15,0.27,0.21,0.25,0.35,0.24,0.29,0.3,0.21,0.29,0.19,0.3,0.27,0.27,0.18,0.19,0.23,0.19,0.16,0.22,0.21,0.28
2013,1,12,0.03,0,0.02,0.03,0.01,0,0.01,0.02,0.01,0.04,0.07,0.09,0.06,0.06,0.09,0.12,0.08,0.12,0.1,0.08,0.12,0.13,0.06,0.12,0.06
2013,1,13,0.05,0.06,0.06,0.07,0.05,0.02,0.07,0.03,0.08,0.08,0.02,0.03,0.09,0.03,0.03,0.07,0.02,0.02,0.03,0.03,0.06,0.08,0.05,0.06,0.01
2013,1,14,0.04,0.02,0.03,0.01,0.01,0,0,0.02,0,0,0.05,0.02,0.02,0.03,0.03,0.01,0.03,0.02,0.01,0.03,0,0.01,0,0.02,0.02
