City,Closest Major Intersection,Station Number,Latitude,Longitude - West
Northbrook,near Landwehr Rd and Willow Rd,1,42.1109,-87.8682
Winnetka,near Hibbard Rd and Willow Rd,2,42.1073,-87.7566
Des Plaines,near S River Rd and E Oakton St,3,42.0225,-87.8778
Skokie,near Lincoln Ave and Oakton St,4,42.0276,-87.7554
Franklin Park,near Mannheim Rd and Grand Ave,5,41.932,-87.8782
Chicago,near N Central Ave and W Grand Ave,6,41.9168,-87.7617
Chicago,near N Clark St and W Irving Park Rd,7,41.959,-87.6574
Westchester,near N La Grange Rd and W Cermak Rd,8,41.8448,-87.8822
Cicero,near S Laramie Ave and W Roosevelt Rd,9,41.865,-87.7547
Chicago,near S Halsted St and W. Cermak Rd,10,41.8451,-87.6483
La Grange,Willow Springs Road and 75th St,11,41.7588,-87.8888
Bedford Park,near S Central Ave and W 73rd St,12,41.7587,-87.7681
Chicago,near S Halsted St and W 79th St,13,41.7584,-87.6416
Chicago,near S Shore Drive and E 79th St,14,41.7576,-87.5439
Lemont,near Archer Ave and 111th St,15,41.6795,-87.9651
Palos Park,near Calumet Sag Rd and S La Grange Rd,16,41.6632,-87.8704
Alsip,near S Laramie Ave and W 115th St,17,41.675,-87.75
Chicago,near S Halsted St and W 119th St,18,41.678,-87.6513
Chicago,near S Avenue O and E 126th St,19,41.6791,-87.5397
Orland Park,near 104th Ave and W 167th St,20,41.5873,-87.8766
Tinley Park,near S Cicero Ave and 167th St,21,41.5868,-87.7485
Harvey,near S Halsted St and E 167th St,22,41.5857,-87.6336
Lansing,near S Burnham Ave and 170th St,23,41.5878,-87.5473
Matteson,near S Cicero Ave and Lincoln Hwy,24,41.5179,-87.733
Lynwood,near Stoney Island Ave and E Joe Orr Rd,25,41.5206,-87.5747
