year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
2004	6	10	27.1	E	----	M	----	M	----	M	74.8	E	65.5	E	----	M	98.7	E	86.5	E	----	M	----	M	0.71	E	----	M	72.1	E	68.9	E	----	M	73.1	E	71.7	E	----	M													bbc
2004	6	11	12.4	 	5.4	 	179.5	 	15.75	 	85.2	 	69	 	76.6	 	98.3	 	68.1	 	88.1	 	72.7	 	0.28	 	0.14	 	76.6	 	68.6	 	72.3	 	75.8	 	71	 	73.2	 													bbc
2004	6	12	33.8	 	4.2	 	119.1	 	28.77	 	88.1	 	64.2	 	76.8	 	96.1	 	33.7	 	75.4	 	67.5	 	0.01	 	0.26	 	81.4	 	69.1	 	75.2	 	79.6	 	72.1	 	75.7	 													bbc
2004	6	13	17.6	 	5.6	 	219.9	 	26.67	 	81.1	 	69.1	 	73.8	 	96.1	 	55.8	 	77.3	 	65.8	 	0	 	0.24	 	80	 	71.2	 	75	 	79	 	74	 	76.5	 													bbc
2004	6	14	18.3	E	3.8	 	256.6	 	21.93	 	82.4	 	64.5	 	72	 	97.9	 	53	 	80.4	 	65.1	 	0.24	 	0.19	 	77.6	 	69.6	 	73.2	 	76.5	 	72.5	 	74.7	 													bbc
2004	6	15	8.8	E	2.9	 	103	 	20.7	 	81	E	60.8	E	71.6	 	97.4	E	43.4	E	75.6	 	62.8	 	0	 	0.18	 	77.2	E	68	E	72.5	 	76.9	E	71.4	E	74.1	 													bbc
2004	6	16	10.1	E	4.1	 	137	 	25.33	 	85.4	 	65.2	 	75.6	 	94.5	 	57.8	 	79.7	 	68.4	 	0	 	0.23	 	80.7	 	69.6	 	75	 	79.8	 	72.5	 	76.1	 													bbc
2004	6	17	11	 	4.4	 	306.9	 	19.95	 	79.6	 	65.2	 	72.7	 	97	 	63.3	 	83.1	 	67.1	 	0	 	0.18	 	79.4	 	72.1	 	75.4	 	78.8	 	74.6	 	76.6	 													bbc
2004	6	18	12	 	4.1	 	317.8	 	16.38	 	76.7	 	60.7	 	67.6	 	97.8	 	55.1	 	77.7	 	60.1	 	0	 	0.14	 	76.6	 	69	 	72.5	 	76.2	 	73	 	74.5	 													bbc
2004	6	19	12.2	 	3.2	 	5	 	29.43	 	67.9	 	52.2	 	60.3	 	93.4	 	35.4	 	60.4	 	45.7	 	0	 	0.23	 	75.7	 	64.5	 	69.8	 	75	 	68.8	 	72.1	 													bbc
2004	6	20	9.2	 	3.5	 	216.4	 	24.66	 	71.5	 	52.9	 	63.1	 	92.6	 	40.9	 	66.2	 	50.9	 	0	 	0.2	 	75.8	 	65.3	 	70.3	 	74.8	 	68.8	 	71.8	 													bbc
2004	6	21	15.8	E	3.9	 	218.3	 	8.41	 	70.9	 	59.2	 	64.2	 	98.6	 	67.5	 	87.1	 	60.3	 	0.51	 	0.07	 	69.4	 	66.2	 	67.8	 	72.4	 	69.4	 	70.3	 													bbc
2004	6	22	11.6	 	4.2	 	298	 	29.77	 	73.6	 	55.2	 	64.6	 	91.9	 	36.7	 	67	 	52.3	 	0	 	0.25	 	73.9	 	63.6	 	68.4	 	72.5	 	66.9	 	69.8	 													bbc
2004	6	23	15.4	 	5.6	 	230.6	 	24.52	 	81.9	 	55	 	70	 	92.2	 	40.5	 	66.8	 	57.7	 	0	 	0.22	 	73.5	 	63.5	 	68.7	 	73.2	 	67	 	70.2	 													bbc
2004	6	24	8.1	 	3.7	 	337	 	12.39	 	58.2	 	53.5	 	57.2	 	96	 	75.8	 	81.5	 	51.3	 	0	 	0.09	 	66.6	 	63.1	 	65.8	 	68.7	 	66.5	 	68.5	 													bbc
2004	6	25	8.9	 	3.6	 	308.9	 	31.14	 	70.2	 	50.3	 	60.6	 	98.2	 	36.7	 	68.2	 	48.7	 	0	 	0.25	 	73.2	 	60.4	 	66.4	 	71.2	 	64	 	67.5	 													bbc
2004	6	26	8.7	 	2.4	 	268.5	 	29.99	 	76.9	 	51.6	 	64.9	 	93.5	 	32.6	 	65.2	 	51.4	 	0	 	0.25	 	75.1	 	61.3	 	68	 	73.2	 	64.9	 	69.1	 													bbc
2004	6	27	8.2	 	2.8	 	229.2	 	11.7	 	73.7	 	54.4	 	64.9	 	96.3	 	56.4	 	80.9	 	58.6	 	0	 	0.1	 	70.8	 	64.8	 	67.8	 	70.8	 	67.5	 	69.4	 													bbc
2004	6	28	11.5	E	4.1	 	339.8	 	27.44	 	73.9	 	55.7	 	64.8	 	98.1	 	44.8	 	77.4	 	56.7	 	0.16	 	0.23	 	75	 	64.9	 	69.4	 	73.1	 	67.5	 	70.2	 													bbc
2004	6	29	9.1	 	3.5	 	265.1	 	29.51	 	79.9	 	53.7	 	68	 	97.7	 	38.5	 	70.7	 	57	 	0	 	0.26	 	76.4	 	63.3	 	69.8	 	74.5	 	66.7	 	70.7	 													bbc
2004	6	30	7.5	 	2.6	 	205.3	 	29.22	 	80.9	 	54.5	 	69.3	 	97.1	 	39.1	 	72.5	 	59.2	 	0	 	0.26	 	77.3	 	65.3	 	71.2	 	76	 	68.4	 	72.1	 													bbc
2004	7	1	5.7	 	2.6	 	125.9	 	26.7	 	88	 	56.2	 	72.5	 	97.6	 	41.2	 	75.3	 	63.1	 	0	 	0.24	 	78.6	 	66.7	 	72.9	 	77.4	 	69.6	 	73.6	 													bbc
2004	7	2	11.4	 	5.1	 	100.8	 	24.92	 	84.6	 	63	 	74.7	 	94	 	49.7	 	72.1	 	64.4	 	0	 	0.23	 	79.8	 	69.9	 	74.8	 	78.3	 	72.2	 	75.2	 													bbc
2004	7	3	14.3	E	6.5	 	140.4	 	10.96	 	78.1	 	66.1	 	72.1	 	97.5	 	69.1	 	88.3	 	68.4	 	0.26	 	0.1	 	74.7	 	71.6	 	73.2	 	76.1	 	73.5	 	74.7	 													bbc
2004	7	4	18.9	 	6.2	 	272.9	 	25.15	 	82.7	 	69	 	75	 	97.5	 	57.6	 	79.7	 	67.8	 	0	 	0.23	 	78.7	 	70.8	 	74.5	 	77.4	 	72.7	 	74.8	 													bbc
2004	7	5	17	E	5.5	 	167.4	 	24.32	 	85	 	63.5	 	73.8	 	97.8	 	55	 	83.4	 	68.2	 	0.56	 	0.22	 	80.6	 	70.7	 	75.2	 	78.5	 	73.1	 	75.7	 													bbc
2004	7	6	14.5	 	6.3	 	253	 	18.94	 	77.3	 	63.4	 	70.3	 	96.2	 	62.8	 	83.1	 	64.8	 	0	 	0.16	 	75.7	 	70.6	 	73	 	75.9	 	73.1	 	74.5	 													bbc
2004	7	7	14.1	 	5.7	 	278.9	 	12.11	 	68.5	 	57.2	 	62.8	 	97.3	 	70.2	 	84.2	 	57.9	 	0	 	0.1	 	71.5	 	67	 	69.4	 	74.2	 	70.2	 	71.8	 													bbc
2004	7	8	10.1	 	3.8	 	74.4	 	28.41	 	78	 	53.3	 	66.2	 	99.2	 	42	 	72.8	 	56.1	 	0	 	0.24	 	74.8	 	64.5	E	69.8	 	74.5	 	67.8	E	71.1	 													bbc
2004	7	9	18.6	 	6.8	 	89.1	 	12.56	 	76.1	 	60.4	 	68.2	 	96.2	 	72	 	86.4	 	63.9	 	0.02	 	0.11	 	73.7	 	68.3	 	70.5	 	73.8	 	70.6	 	72.1	 													bbc
2004	7	10	13.1	 	4.4	 	81.7	 	17.35	 	82.4	 	66.1	 	73	 	98.3	 	68.8	 	88.2	 	69.1	 	0	 	0.15	 	76.8	 	69.5	 	72.7	 	76.5	 	71.4	 	73.6	 													bbc
2004	7	11	22	 	5	 	196	 	16.89	 	84.7	 	62.4	 	72.7	 	98.3	 	65.4	 	90.3	 	69.4	 	0.35	 	0.15	 	77.9	 	70.1	 	73.8	 	77	 	72.5	 	74.8	 													bbc
2004	7	12	15.3	 	4.2	 	293.8	 	25.3	 	83.9	 	64.5	 	74.7	 	98.3	 	50.5	 	85.3	 	69.6	 	0	 	0.23	 	79.3	 	71.2	 	75.2	 	78.7	 	73.2	 	75.9	 													bbc
2004	7	13	24.5	 	7.6	 	274.7	 	24.7	 	89.7	 	64	 	77.2	 	98.5	 	53.4	 	77.2	 	68.7	 	0	 	0.23	 	80.5	 	71.7	 	75.7	 	79.7	 	73.9	 	76.6	 													bbc
2004	7	14	21.1	 	7.2	 	320.2	 	28.2	 	80.2	 	61.8	 	71.4	 	91.3	 	50.1	 	73.2	 	61.9	 	0	 	0.25	 	78.7	 	70.5	 	74.7	 	78.6	 	73.2	 	75.9	 													bbc
2004	7	15	12.8	 	3.8	 	300.1	 	24.07	 	84	 	61.6	 	72.7	 	94.3	 	41.4	 	70.9	 	61.7	 	0	 	0.22	 	79.4	 	70.4	 	74.8	 	78.9	 	73.1	 	76.1	 													bbc
2004	7	16	14.7	 	4.2	 	289.1	 	19.53	 	83.7	 	61.1	 	72.7	 	96.4	 	49.6	 	77.4	 	64.8	 	0	 	0.18	 	77.8	 	71	 	74.7	 	77.4	 	73.8	 	75.9	 													bbc
2004	7	17	17.6	 	5	 	9.2	 	13.75	 	75.8	 	60.9	 	67.5	 	96	 	62.6	 	83.4	 	62.1	 	0	 	0.12	 	74.8	 	70.4	 	72.5	 	75.8	 	73	 	74.3	 													bbc
2004	7	18	13.5	 	3.7	 	359.5	 	27.93	 	80.6	 	58	 	69.4	 	96.7	 	39.2	 	73.6	 	59.4	 	0	 	0.25	 	78.9	 	68.1	 	73.4	 	78.1	 	71.1	 	74.5	 													bbc
2004	7	19	19.3	 	7	 	208.7	 	22.14	 	83	 	56.7	 	72.1	 	97.3	 	48.8	 	75	 	63	 	0	 	0.2	 	77.4	 	69.3	 	73.6	 	77.2	 	72.2	 	74.8	 													bbc
2004	7	20	13.6	 	4.5	 	173.1	 	25.86	 	90.6	 	65.5	 	78.6	 	96.5	 	51.7	 	78.7	 	70.9	 	0	 	0.24	 	82.1	 	71.9	 	77	 	80.8	 	73.9	 	77.2	 													bbc
2004	7	21	22.7	 	7.4	 	201.1	 	11.24	 	86.5	 	69.1	 	78.1	 	95.3	 	60.9	 	83.4	 	72.5	 	0	 	0.1	 	79.8	 	75.8	 	77.7	 	79.6	 	77.3	 	78.4	 													bbc
2004	7	22	43.9	 	5	 	293.5	 	11.59	 	86.5	 	65.8	 	73.8	 	97.7	 	68.1	 	87.4	 	69.8	 	0.29	 	0.1	 	78.4	 	73.2	 	75.7	 	78.2	 	76	 	77	 													bbc
2004	7	23	16.8	 	5.8	 	51.1	 	21.36	 	75.2	 	58.4	 	67.5	 	94	 	57.4	 	76.4	 	59.4	 	0	 	0.18	 	77.8	 	70.7	 	73.9	 	77.4	 	73.4	 	75.4	 													bbc
2004	7	24	13.9	 	4.8	 	52.9	 	8.36	 	68.6	 	56.4	 	63	 	95.6	 	64.6	 	78.4	 	55.9	 	0	 	0.07	 	71.6	 	68.6	 	70.2	 	74.9	 	71.7	 	72.7	 													bbc
2004	7	25	18.6	 	5.7	 	41	 	26.02	 	76.1	 	57.5	 	66.2	 	96.2	 	40.4	 	67.9	 	54.3	 	0	 	0.22	 	76	 	67	 	71.2	 	75.6	 	69.9	 	72.5	 													bbc
2004	7	26	15.9	 	3.3	 	3.5	 	26	 	76.8	 	52.5	 	64.4	 	98	 	37.5	 	71.5	 	53.4	 	0	 	0.22	 	75	 	66.3	 	70.7	 	75	 	69.7	 	72.5	 													bbc
