year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	8	25	10.9	 	4.2	 	69.4	 	10.34	 	80.9	 	70.3	 	73.8	 	98.3	 	78.2	 	94.8	 	72.1	 	----	M	0.09	 	78.4	 	74.6	 	76.3	 	76.7	 	74.8	 	75.6	 													brw
1989	8	26	8.1	 	2.6	 	114.2	 	18.55	 	87.7	 	70.1	 	77.7	 	99.7	 	63.5	 	89.7	 	74.1	 	----	M	0.17	 	82	 	74	 	77.7	 	78.4	 	74.2	 	76.1	 													brw
1989	8	27	17.5	 	3	 	111.4	 	20.48	 	89.7	 	70.7	 	78.1	 	99.7	 	55.4	 	87.9	 	73.9	 	----	M	0.19	 	83.8	 	75.7	 	79.3	 	79.7	 	75.8	 	77.7	 													brw
1989	8	28	32.9	 	4.8	 	203.2	 	14.35	 	90.1	 	70.3	 	76.6	 	100	 	63.4	 	93.5	 	74.5	 	----	M	0.13	 	81.7	 	76.4	 	78.3	 	78.7	 	76.3	 	77.5	 													brw
1989	8	29	18.3	 	4.5	 	281.4	 	17.44	 	83.5	 	70.1	 	74.7	 	100	 	63.4	 	91.8	 	71.8	 	----	M	0.16	 	80.3	 	75	 	77.2	 	77.7	 	75.3	 	76.5	 													brw
1989	8	30	12.9	 	3.7	 	91	 	19.72	 	82.8	 	65.7	 	73	 	99.8	 	47.8	 	83.4	 	66.9	 	----	M	0.18	 	80.6	 	74.1	 	76.6	 	77.7	 	74.6	 	75.9	 													brw
1989	8	31	17.1	 	4.4	 	176.3	 	13.52	 	86.2	 	65.7	 	76.3	 	98.6	 	69.9	 	90.8	 	73.2	 	----	M	0.12	 	79.6	 	73.4	 	76.1	 	77	 	74.1	 	75.4	 													brw
1989	9	1	23.5	 	7	 	214.9	 	7.86	 	83.6	 	68.3	 	75.9	 	99.9	 	86.6	 	95.5	 	74.5	 	----	M	0.07	 	77.9	 	74.6	 	76.3	 	76.4	 	74.9	 	75.7	 													brw
1989	9	2	14.9	 	6.2	 	50.2	 	23.13	 	79.4	 	61.3	 	70.2	 	100	 	55.9	 	86.8	 	65.7	 	----	M	0.2	 	78.6	 	72.4	 	75.2	 	76.2	 	73.4	 	74.8	 													brw
1989	9	3	17.9	 	5.4	 	78.2	 	24.58	 	77.1	 	56	 	66.9	 	98.5	 	47.4	 	78	 	59.2	 	----	M	0.21	 	77.2	 	69.4	 	73	 	74.8	 	71.4	 	73.2	 													brw
1989	9	4	12.7	 	3.9	 	128.6	 	17.96	 	79.3	 	58.2	 	68.7	 	99.4	 	65.5	 	87	 	64.4	 	----	M	0.16	 	75.6	 	68.7	 	72.1	 	73.7	 	70.5	 	72.3	 													brw
1989	9	5	17.8	 	4.2	 	178.5	 	17.19	 	85.2	 	67.8	 	75.6	 	100	 	62.2	 	90.7	 	72.5	 	----	M	0.16	 	78.2	 	71.2	 	74.5	 	75.5	 	71.6	 	73.4	 													brw
1989	9	6	17.8	 	5.3	 	190.7	 	14.93	 	84.3	 	70.2	 	76.8	 	97.5	 	57.8	 	81.9	 	70.7	 	----	M	0.14	 	77.5	 	73.4	 	75.4	 	75.5	 	73.3	 	74.5	 													brw
1989	9	7	16	 	5.6	 	205.2	 	20.15	 	87.5	 	71.2	 	78.6	 	92.7	 	59.3	 	80.5	 	72	 	----	M	0.19	 	79.8	 	73	 	76.1	 	76.9	 	73.3	 	75	 													brw
1989	9	8	25.5	 	7.6	 	191	 	16.33	 	89.1	 	68.9	 	76.8	 	100	 	61.6	 	88.7	 	72.9	 	----	M	0.15	 	79.8	 	74.2	 	76.5	 	77.3	 	74.3	 	75.6	 													brw
1989	9	9	22.1	 	6.4	 	236.8	 	11.85	 	86	 	69.4	 	74.8	 	100	 	68.7	 	93.4	 	72.7	 	----	M	0.11	 	77.9	 	73.5	 	75.4	 	75.8	 	73.8	 	74.8	 													brw
1989	9	10	14.4	 	4.6	 	359.5	 	7.32	 	70.6	 	63.3	 	66.6	 	100	 	88.6	 	96.4	 	65.5	 	----	M	0.06	 	74.6	 	71.8	 	73	 	74.7	 	72.6	 	73.2	 													brw
1989	9	11	10.2	 	3.4	 	28.3	 	11.6	 	76.7	 	61.5	 	68.9	 	100	 	68.9	 	91.1	 	66	 	----	M	0.1	 	74.7	 	70	 	72.3	 	73.3	 	71	 	72.3	 													brw
1989	9	12	14.5	 	6.2	 	27.7	 	13.62	 	76.9	 	60.1	 	67.8	 	97.4	 	67.5	 	90.5	 	64.8	 	----	M	0.12	 	75.1	 	70.5	 	72.5	 	73.3	 	71.2	 	72.3	 													brw
1989	9	13	18.6	 	8.2	 	26.4	 	5.62	 	62.1	 	56	 	58.1	 	100	 	94.2	 	97.1	 	57.4	 	----	M	0.04	 	71.5	 	65.4	 	68.7	 	72.3	 	67.9	 	70	 													brw
1989	9	14	21.3	 	8.2	 	22.8	 	4.58	 	61.5	 	55.4	 	57.9	 	100	 	95.9	 	99.1	 	57.6	 	----	M	0.03	 	65.5	 	63.7	 	64.6	 	68.1	 	65.6	 	66.2	 													brw
1989	9	15	13.1	 	5.5	 	38	 	2.99	 	61.5	 	57.3	 	59.4	 	100	 	95.9	 	99	 	59	 	----	M	0.02	 	64.7	 	63.6	 	64.2	 	65.8	 	64.8	 	65.1	 													brw
1989	9	16	20	 	4.4	 	342.1	 	20.26	 	73.2	 	56.9	 	64.6	 	99.9	 	53	 	86.5	 	59.9	 	----	M	0.17	 	70.7	 	63.7	 	66.9	 	68.4	 	64.7	 	66.2	 													brw
1989	9	17	7.4	 	2.2	 	149.1	 	18.85	 	76.7	 	54.3	 	65.7	 	100	 	47.9	 	81.7	 	59	 	----	M	0.16	 	72.3	 	64.6	 	68.4	 	69.7	 	65.8	 	67.6	 													brw
1989	9	18	11.4	 	3.8	 	109.4	 	22.12	 	76.3	 	56.8	 	65.8	 	97	 	49.3	 	80.4	 	59	 	----	M	0.19	 	73.4	 	65.2	 	68.9	 	70.2	 	66.3	 	68.2	 													brw
1989	9	19	11	 	3.7	 	101.9	 	22.2	 	76.7	 	53.4	 	65.1	 	99.5	 	42.4	 	80.7	 	58.1	 	----	M	0.19	 	73.2	 	65	 	68.9	 	70.3	 	66.4	 	68.4	 													brw
1989	9	20	12.5	 	2.9	 	92	 	21.07	 	76.5	 	51.8	 	64.2	 	100	 	50	 	85.1	 	59	 	----	M	0.18	 	73	 	65	 	68.7	 	70.2	 	66.4	 	68.4	 													brw
1989	9	21	11.5	 	2.4	 	66.5	 	14.54	 	79.9	 	55.7	 	68.2	 	99.9	 	54.2	 	87.4	 	63.7	 	----	M	0.13	 	72.6	 	66.1	 	69.3	 	70.3	 	67	 	68.7	 													brw
1989	9	22	35.1	 	7.2	 	330.4	 	12.72	 	77.5	 	60.5	 	68	 	99.1	 	52.2	 	84	 	62.4	 	----	M	0.11	 	71.3	 	68	 	69.4	 	70	 	68.2	 	69.1	 													brw
1989	9	23	37	 	11.1	 	21.1	 	22.61	 	60.5	 	39.2	 	48.9	 	93.7	 	28.2	 	58.3	 	33.6	 	----	M	0.16	 	68.8	 	61.5	 	64.6	 	69.1	 	64.2	 	66.2	 													brw
