year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1990	8	20	19.4	 	5.1	 	127.7	 	----	M	85.5	 	70	 	74.8	 	100	 	71	 	96.1	 	73.6	 	----	M	----	M	80.5	 	73.1	 	76.1	 	76.4	 	72.8	 	74.7	 													bvl
1990	8	21	16.9	 	6.5	 	340.9	 	----	M	74.5	 	67.9	 	70.9	 	100	 	98.2	 	99.7	 	70.9	 	----	M	----	M	74.8	 	71.1	 	73	 	74.8	 	71.6	 	72.9	 													bvl
1990	8	22	16.7	 	6.7	 	34.9	 	----	M	75.4	 	67.8	 	70.5	 	100	 	88.4	 	97.2	 	69.6	 	----	M	----	M	73.4	 	70	 	71.4	 	71.9	 	70.3	 	71.1	 													bvl
1990	8	23	11	 	2.6	 	40.4	 	----	M	80.5	 	62.5	 	70.9	 	100	 	62.5	 	91.1	 	67.8	 	----	M	----	M	76.8	 	69.3	 	72.3	 	73.1	 	69.6	 	71.2	 													bvl
1990	8	24	10.3	 	3.9	 	126.2	 	----	M	82.2	 	59.9	 	70.9	 	100	 	63.8	 	91.3	 	67.8	 	----	M	----	M	77.9	 	67.3	 	72.3	 	73.5	 	68.9	 	71.2	 													bvl
1990	8	25	16.2	 	4.4	 	147.3	 	----	M	83.9	 	61.6	 	72.7	 	100	 	66.4	 	90.8	 	69.4	 	----	M	----	M	78.8	 	68.8	 	73.6	 	74.2	 	69.9	 	72	 													bvl
1990	8	26	10.9	 	4.3	 	167.3	 	----	M	87.7	 	63.7	 	75.2	 	100	 	58.5	 	89.9	 	71.6	 	----	M	----	M	81.4	 	69.6	 	75	 	75.7	 	70.6	 	73	 													bvl
1990	8	27	10.6	 	3.8	 	184.4	 	----	M	90.5	 	64.9	 	77.7	 	100	 	65.4	 	92	 	75	 	----	M	----	M	82.8	 	71.1	 	76.5	 	76.8	 	71.8	 	74.3	 													bvl
1990	8	28	18	 	5.6	 	222.3	 	----	M	93.6	 	69.4	 	80.6	 	100	 	61.6	 	90	 	77	 	----	M	----	M	83.3	 	72.8	 	77.5	 	77.5	 	73.1	 	75.4	 													bvl
1990	8	29	40.2	 	5.3	 	334.8	 	----	M	84.6	 	64.4	 	73.4	 	100	 	43.6	 	88.3	 	68.9	 	----	M	----	M	80.6	 	70.8	 	75.4	 	76.5	 	72.4	 	74.5	 													bvl
1990	8	30	11.8	 	4.5	 	34.3	 	----	M	81.9	 	60.5	 	70.9	 	100	 	41.1	 	81.3	 	63.7	 	----	M	----	M	80.2	 	70.1	 	74.5	 	75.5	 	71.7	 	73.6	 													bvl
1990	8	31	12.1	 	4.6	 	131.7	 	----	M	83.6	 	55.3	 	70.2	 	100	 	54.5	 	86.9	 	65.5	 	----	M	----	M	79.5	 	67.6	 	73.2	 	74.7	 	70.1	 	72.5	 													bvl
1990	9	1	15.7	 	5.7	 	179.4	 	----	M	87.5	 	62.2	 	74.1	 	100	 	48.9	 	85.9	 	68.9	 	----	M	----	M	80.5	 	69.6	 	74.5	 	75.4	 	71	 	73.2	 													bvl
