year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1991	9	14	19.8	 	6.1	 	213.5	 	20.75	 	92.8	 	72.6	 	82	 	93.8	 	40.4	 	69.6	 	69.8	 	0	 	0.2	 	91.7	 	77.1	 	83.7	 	85.9	 	79.4	 	82.6	 													fai
1991	9	15	23.9	 	6.8	 	216.3	 	19.71	 	93	 	73.3	 	82	 	92.9	 	37.7	 	69.5	 	70	 	0	 	0.19	 	91.4	 	77.8	 	83.8	 	85.9	 	80	 	82.8	 													fai
1991	9	16	22.9	 	7.9	 	262.8	 	18.47	 	87.8	 	68.5	 	78.4	 	92.7	 	46.5	 	67.7	 	66.2	 	0	 	0.18	 	89.4	 	77.7	 	82.9	 	85.1	 	80	 	82.6	 													fai
1991	9	17	12.6	 	2.7	 	20.4	 	14.87	 	80	 	58.4	 	70.3	 	88.7	 	31.2	 	57.8	 	53.8	 	0	 	0.13	 	85.4	 	73.9	 	79.3	 	82.4	 	77.6	 	80.1	 													fai
1991	9	18	20.2	 	5.6	 	322.1	 	3.66	 	68.3	 	53.9	 	60.8	 	97.4	 	53.5	 	79.9	 	54.3	 	0.87	 	0.03	 	78.2	 	64.1	 	71.6	 	79.8	 	70.1	 	75.2	 													fai
1991	9	19	21.6	 	7	 	346.4	 	22.58	 	60.3	 	40.9	 	50.7	 	90.5	 	33.1	 	61.1	 	36.7	 	0	 	0.16	 	69.9	 	58.4	 	63.7	 	70.5	 	65.1	 	67.5	 													fai
1991	9	20	15	 	4.3	 	27	 	18.16	 	61.6	 	36	E	48.9	 	91	 	33	E	62	 	35.1	 	0.02	 	0.13	 	67.3	 	53.9	 	60.1	 	65.9	 	60.7	 	63.5	 													fai
1991	9	21	14.8	 	5.1	 	98.1	 	21.73	 	69.3	 	40.7	 	57	 	88.7	 	28.9	 	57.1	 	40.5	 	0	 	0.17	 	71.9	 	53.6	 	62.4	 	67.6	 	59.6	 	63.5	 													fai
1991	9	22	14.7	 	5.6	 	204.3	 	4.17	 	63.8	 	59.5	 	61	 	96.5	 	59.6	 	84.4	 	55.9	 	0.46	 	0.03	 	66.2	 	62	 	63.9	 	66.4	 	64.5	 	65.3	 													fai
1991	9	23	14.4	 	4.1	 	355.6	 	21.66	 	70.1	 	49.7	 	59.5	 	96.5	 	30.8	 	68.8	 	47.8	 	0.01	 	0.17	 	73.4	 	59.4	 	65.5	 	69.2	 	63.1	 	65.8	 													fai
