year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	6	9	21.4	 	8.5	 	332.2	 	9.73	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	68.2	 	60.8	 	64	 	69	 	62.3	 	65.1	 													fre
1989	6	10	15.6	 	4.7	 	13.7	 	33.06	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	75.3	 	59.1	 	66	 	69.8	 	60.7	 	64.6	 													fre
1989	6	11	20.1	 	5	 	133.2	 	16.11	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0.02	 	----	M	69.1	 	61.6	 	65.7	 	68.3	 	62.7	 	65.5	 													fre
1989	6	12	26.4	 	4.4	 	159.2	 	8.38	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	1.04	 	----	M	69.6	 	62.1	 	65.7	 	67.7	 	62.6	 	65.1	 													fre
1989	6	13	22.4	 	7.2	 	310.2	 	29.07	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	73.6	 	61.8	 	67.1	 	69.9	 	62.5	 	66	 													fre
1989	6	14	21.8	 	7.3	 	301.1	 	23.59	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	72.1	 	63.3	 	67.5	 	69.6	 	63.8	 	66.7	 													fre
1989	6	15	20.3	 	7.4	 	2.8	 	6.08	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	66.8	 	59	 	62.4	 	68.3	 	60.9	 	63.9	 													fre
1989	6	16	13.5	 	4.3	 	316	 	26.94	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	69.9	 	57.3	 	63.1	 	66.8	 	59.1	 	62.6	 													fre
1989	6	17	24.3	 	6.4	 	225.9	 	30.44	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	73.8	 	59.1	 	65.8	 	69.3	 	60.7	 	64.6	 													fre
