year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	11	16	34.7	 	15.8	 	286	 	5.75	 	40.1	 	25.3	 	30.9	 	93.9	 	61	 	76.6	 	24.3	 	0	 	0.03	 	48	 	38.4	 	43.2	 	52.4	 	43.9	 	48	 													frm
1989	11	17	33.3	 	11.1	 	218.5	 	10	 	49	 	22.5	 	36.9	 	85.2	 	31.4	 	58.5	 	22.6	 	0	 	0.06	 	42.1	 	36.1	 	38.8	 	46	 	40.7	 	43	 													frm
1989	11	18	23.7	 	6.8	 	322	 	11.15	 	39.3	 	23.5	 	31.5	 	74.9	 	23.4	 	50.6	 	14.5	 	0	 	0.06	 	42.5	 	36.5	 	39.4	 	44.7	 	40.4	 	42.6	 													frm
1989	11	19	20	 	7.9	 	188.9	 	10.44	 	65.4	 	31.1	 	49.3	 	86.9	 	43.7	 	64.2	 	37.2	 	0	 	0.08	 	48.2	 	36.5	 	42.1	 	47.3	 	39.9	 	43.2	 													frm
1989	11	20	28.5	 	11.7	 	294.9	 	10.66	 	70.2	 	43.6	 	58.1	 	89.9	 	28.9	 	57	 	41.4	 	0	 	0.09	 	52.6	 	43.1	 	47.3	 	50.2	 	44.2	 	47.1	 													frm
1989	11	21	23.3	 	6.7	 	22.2	 	10.77	 	45.1	 	32.9	 	39.2	 	75.2	 	35.9	 	56.8	 	24.8	 	0	 	0.06	 	48	 	40.9	 	44.4	 	49.8	 	43.8	 	46.4	 													frm
1989	11	22	27.8	 	9.1	 	1.3	 	4.24	 	44	 	33.6	 	39	 	84.9	 	60.5	 	71.6	 	30.6	 	0	 	0.03	 	45.8	 	40.5	 	43.2	 	47	 	43.4	 	45.1	 													frm
1989	11	23	20	 	7.1	 	293.9	 	9.72	 	41.4	 	24.3	 	32.9	 	87.7	 	26.1	 	58.9	 	19.2	 	0	 	0.05	 	44.4	 	37.9	 	40.8	 	45.8	 	41.5	 	43.5	 													frm
1989	11	24	32.6	 	12.2	 	164.7	 	10.25	 	51.1	 	25.7	 	39.7	 	91.8	 	26.2	 	59.8	 	25.5	 	0	 	0.07	 	42.3	 	35.6	 	38.8	 	43.8	 	39.2	 	41.5	 													frm
1989	11	25	30.5	 	9.8	 	177.2	 	4	 	55.9	 	44	 	50	 	97.5	 	47.3	 	79.4	 	43.5	 	0	 	0.03	 	46.9	 	38.7	 	42.8	 	46.8	 	40.6	 	43.3	 													frm
1989	11	26	12.9	 	4.6	 	60.9	 	9.77	 	58.3	 	35.1	 	49.3	 	98.5	 	48.3	 	77.8	 	41.9	 	0	 	0.07	 	50.1	 	41.9	 	45.9	 	48.5	 	43.6	 	46	 													frm
1989	11	27	35.3	 	16.7	 	208.6	 	5.48	 	75	 	43.8	 	61.9	 	97.5	 	28.2	 	70.7	 	51.1	 	0	 	0.05	 	55.3	 	44.3	 	50.2	 	52.4	 	45.1	 	48.7	 													frm
1989	11	28	36	 	14.1	 	304.5	 	8.76	 	46.2	 	23.4	 	33.1	 	88	 	47.2	 	69.7	 	24.3	 	0	 	0.05	 	50.8	 	38.9	 	45	 	51.9	 	43.4	 	47.5	 													frm
1989	11	29	16.7	 	6.9	 	273.8	 	10.41	 	36.7	 	18.3	 	27.1	 	82.9	 	29.7	 	60.6	 	14.5	 	0	 	0.05	 	40.7	 	35.8	 	37.8	 	45.6	 	39.4	 	41.9	 													frm
1989	11	30	10.8	 	2.9	 	256.8	 	10.24	 	53.4	 	25.2	 	37.2	 	95	 	32.1	E	61.4	 	23.9	 	0	 	0.06	 	42	 	34.7	 	37.8	 	42.4	 	38.1	 	40.3	 													frm
1989	12	1	15	 	4.2	 	186.6	 	10.19	 	58.8	 	25.2	 	41.7	 	96	 	31.3	 	66.7	 	29.8	 	0	 	0.07	 	43.6	 	34.9	 	38.7	 	43.2	 	37.9	 	40.5	 													frm
1989	12	2	45.5	 	18.9	 	300	 	9.51	 	45.7	 	21.5	 	37.8	 	70.9	 	19.7	 	46.5	 	18.3	 	0	 	0.07	 	41.3	 	35.9	 	38.7	 	42.7	 	39.2	 	40.8	 													frm
1989	12	3	24.3	 	9.3	 	289.7	 	10.27	 	31.6	 	17.8	 	23.7	 	75.9	 	30	 	56.7	 	10	 	0	 	0.05	 	37.6	 	33.5	 	35.2	 	41.4	 	36.4	 	38.5	 													frm
1989	12	4	26.5	 	8.6	 	216.2	 	9.42	 	60.2	 	24.2	 	43.2	 	60.4	 	19.7	 	37.9	 	18	 	0	 	0.07	 	37.3	 	33.1	 	35.1	 	39.2	 	35.7	 	37.4	 													frm
1989	12	5	15.3	 	4.2	 	203.9	 	5.49	 	65.8	 	37.1	 	51.6	 	82	 	26.5	 	48.9	 	32	 	0	 	0.04	 	43.9	 	34.3	 	39	 	43.6	 	36.7	 	39.4	 													frm
1989	12	6	29.1	 	8.6	 	333.2	 	3.06	 	51.3	 	29.9	 	42.1	 	94.7	 	43.7	 	78.8	 	35.6	 	0	 	0.02	 	43.9	 	37.6	 	41.9	 	44.2	 	40.5	 	42.6	 													frm
1989	12	7	21.7	 	8.5	 	22.4	 	3.18	 	32.1	 	24.1	 	28.8	 	87.4	 	49	 	66.1	 	18.7	 	0	 	0.02	 	39.4	 	34.4	 	36.1	 	42.8	 	37.1	 	39.2	 													frm
1989	12	8	22.2	 	9.3	 	5.6	 	9.17	 	37.4	 	20.8	 	29.7	 	90.4	 	38.6	 	67	 	19.6	 	0	 	0.05	 	37.5	 	33.9	 	35.4	 	39.3	 	36.4	 	37.8	 													frm
1989	12	9	17.1	 	5.1	 	173.4	 	10.51	 	39	 	15.7	 	28.2	 	94.3	 	46.4	 	73.4	 	20.1	 	0	 	0.05	 	35.8	 	32.9	 	34.2	 	38.7	 	35.2	 	36.9	 													frm
1989	12	10	13.3	 	4.7	 	103.9	 	8.68	 	48	 	26.1	 	36.5	 	93.4	 	49.2	 	77.9	 	29.8	 	0	 	0.05	 	37.1	 	32.9	 	34.7	 	38.4	 	34.9	 	36.5	 													frm
1989	12	11	23.9	 	14.1	 	338.3	 	4.44	 	37.2	 	18.3	 	28.9	 	92.9	 	57.7	 	78.7	 	23	 	0	 	0.02	 	36.8	 	33.6	 	35.4	 	38.5	 	35.8	 	37.2	 													frm
1989	12	12	17.4	 	5.6	 	329.1	 	9.87	 	23.1	 	8.6	 	15.3	 	90.8	 	35.9	 	64.7	 	4.6	 	0	 	0.04	 	35.3	 	32.2	 	33.6	 	38	 	34.4	 	36.1	 													frm
1989	12	13	30.3	 	11.3	 	246	 	5.13	 	37.1	 	8.5	 	23.5	 	92.8	 	38.3	 	65.3	 	13.1	 	0	 	0.03	 	33.9	 	31.4	 	32.5	 	36.5	 	33.6	 	35.1	 													frm
1989	12	14	22.7	 	6.4	 	304.5	 	4.6	 	17.9	 	10.6	 	14.9	 	91.7	 	44.6	 	76.5	 	8.4	 	0.13	 	0.02	 	33.4	 	30.9	 	32	 	35.9	 	33	 	34.3	 													frm
1989	12	15	34	 	13.9	 	306.1	 	10.25	 	13.3	E	-4.1	 	3.2	 	90.9	 	59.2	E	75.3	 	-3.1	 	0.08	 	0.02	 	32.9	 	31	 	32	 	35.2	 	32.9	 	34	 													frm
1989	12	16	13.4	 	4.2	 	247.6	 	10.39	 	9.7	 	-10.5	 	-1.3	 	86.4	 	54.7	 	72.9	 	-8.1	 	0	 	0.03	 	32.8	 	30.7	 	31.8	 	35	 	32.6	 	33.8	 													frm
1989	12	17	9.9	 	2	 	157.2	 	8.06	 	20.3	 	-8.9	 	5.9	 	91.3	 	53	 	75.5	 	-0.2	 	0	 	0.03	 	32.6	 	30.4	 	31.5	 	34.9	 	32.3	 	33.6	 													frm
1989	12	18	14.8	 	3.4	 	36.6	 	6.49	 	21	 	-4.8	 	10.8	 	91.7	 	68.6	 	81	 	5.9	 	0	 	0.02	 	32.7	 	30.4	 	31.5	 	34.8	 	32.1	 	33.4	 													frm
1989	12	19	18.1	 	6.3	 	333.3	 	8.19	 	19.4	 	-5.3	 	12.6	 	92.8	 	63.6	 	81	 	7.5	 	0	 	0.03	 	32.7	 	30.5	 	31.6	 	34.7	 	32.1	 	33.4	 													frm
1989	12	20	14.2	 	2.4	 	78.7	 	9.72	 	19.6	 	-8.5	 	4.6	 	86.5	 	47.3	 	72.8	 	-2.4	 	0.01	 	0.03	 	32.6	 	30.3	 	31.5	 	34.6	 	31.9	 	33.3	 													frm
1989	12	21	31.6	 	15.8	 	326.5	 	8.37	 	14.3	E	-10.2	 	0.1	 	99.9	 	48.3	E	57.7	 	-11.4	 	0	 	0.02	 	32.5	 	28.4	 	30.7	 	34.4	 	31.8	 	33.1	 													frm
1989	12	22	16.2	 	8.9	 	302	 	10.27	 	-1.2	 	-14.9	 	-7.4	 	67.4	 	48.9	 	58.7	 	-18	 	0	 	0.02	 	30	 	26	 	28.2	 	33.8	 	31	 	32.4	 													frm
1989	12	23	11.4	 	4.2	 	269.4	 	10.08	 	6.8	 	-12.2	 	-4.7	 	80.5	 	46.5	 	62.5	 	-14.4	 	0	 	0.02	 	29.3	 	25	 	27	 	33.1	 	30	 	31.6	 													frm
1989	12	24	22.5	 	9.5	 	172.5	 	5.16	 	21.3	 	-7.1	 	12.9	 	82.7	 	42.6	 	65.9	 	3.2	 	0	 	0.02	 	30.1	 	24.9	 	27.7	 	32.3	 	29.5	 	30.9	 													frm
1989	12	25	17.7	 	7.8	 	204.4	 	4.71	 	41.4	 	20.9	 	29.8	 	94.2	 	70.8	 	87.3	 	26.6	 	0	 	0.02	 	31.7	 	28	 	29.8	 	32.6	 	29.7	 	31.3	 													frm
1989	12	26	40.3	 	9.2	 	4	 	8.81	 	40.4	 	19.4	 	25.7	 	87.6	 	45.4	 	66.8	 	16.2	 	0	 	0.04	 	30.2	 	28.5	 	30.4	 	32.8	 	30.1	 	31.5	 													frm
1989	12	27	29.5	 	6.4	 	245.8	 	4.01	 	40.5	 	25.8	 	36	 	94.7	 	68.3	 	87.3	 	32.5	 	0	 	0.02	 	32.4	 	28.9	 	30.7	 	33	 	30.1	 	31.5	 													frm
1989	12	28	20.3	 	5.2	 	149.6	 	8.34	 	47.5	 	25.9	 	37.9	 	96.9	 	71.7	 	87.3	 	34.3	 	0	 	0.05	 	32.6	 	30.1	 	31.3	 	33	 	30.2	 	31.6	 													frm
1989	12	29	9.8	 	2.8	 	116.5	 	1.08	 	41.7	E	38.5	E	40.3	 	99.1	 	88	E	95.5	 	39	 	0.24	 	0.01	 	32.7	 	30.2	 	31.5	 	33.1	 	30.2	 	31.6	 													frm
1989	12	30	16.1	 	4.5	 	303	 	1.27	 	43.7	 	36.9	 	39.7	 	99.6	 	96	 	98.3	 	39.4	 	0.27	 	0.01	 	32.6	 	30.6	 	31.6	 	32.9	 	30.5	 	31.6	 													frm
1989	12	31	25.4	 	9.9	 	282.7	 	2.05	 	38.2	 	34.3	 	36	 	97.2	 	73.2	 	89.8	 	33.3	 	0.01	 	0.01	 	32.7	 	30.7	 	31.6	 	32.9	 	30.6	 	31.8	 													frm
1990	1	1	16.5	 	7.4	 	253.4	 	7.68	 	38.5	 	30.3	 	33.6	 	96.8	 	55.2	 	82.4	 	28.6	 	0.02	 	0.04	 	32.7	 	30.7	 	31.6	 	33.1	 	30.8	 	32	 													frm
1990	1	2	26.2	 	10.9	 	166.3	 	6.59	 	46.2	 	28.5	 	36.9	 	93.6	 	52.6	 	82	 	31.6	 	0	 	0.04	 	32.6	 	30.8	 	31.6	 	33.3	 	31.1	 	32.2	 													frm
1990	1	3	30.6	 	13.4	 	167	 	8.28	 	56.8	 	37.2	 	46.6	 	96.9	 	58.9	 	84.1	 	41.7	 	0.11	 	0.06	 	32.9	 	30.5	 	31.6	 	33.8	 	30.9	 	32.4	 													frm
1990	1	4	39	 	11.1	 	246.2	 	3.15	 	52	 	25.6	 	40.8	 	97	 	73.8	 	91.7	 	38.7	 	0.02	 	0.02	 	35.1	 	30.6	 	32.7	 	35.1	 	31.1	 	33.1	 													frm
