year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	1	1	13.4	 	4.3	 	189.5	 	5.06	 	27.3	 	22.5	 	24.6	 	100	 	100	 	100	 	24.6	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	2	18.9	 	6.5	 	252.7	 	5.91	 	28.5	 	21.1	 	24.8	 	100	 	81.7	 	95.3	 	23.5	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	3	38.1	 	11.1	 	283.5	 	6.26	 	34.7	 	17.1	 	28.9	 	100	 	67.6	 	88.5	 	25.9	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	4	25	 	7.6	 	175.1	 	9.49	 	24.9	 	11.1	 	19.4	 	94.6	 	79.2	 	90	 	17.1	 	----	M	0.04	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	5	22.1	 	7	 	151.2	 	3.27	 	37.4	 	24.5	 	32.2	 	100	 	76.4	 	93.9	 	30.6	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	6	13.9	 	4.6	 	70.2	 	1.27	 	34	 	32.4	 	33.3	 	100	 	100	 	100	 	33.3	 	----	M	0.01	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	7	37.1	 	12.7	 	204.5	 	3.34	 	58.2	 	20.5	 	39.9	 	100	 	81.6	 	98.1	 	39.4	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	8	38.3	 	14.8	 	269.8	 	6.55	 	20.6	 	12.7	 	16.7	 	84.2	 	57.1	 	69.5	 	8.2	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	9	25.9	 	9.8	 	189.9	 	10.57	 	30.1	 	8.4	 	20.5	 	92.4	 	59.9	 	78.6	 	14.5	 	----	M	0.04	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	10	23.4	 	7.7	 	191.8	 	9.14	 	40.4	 	27.6	 	32	 	98.4	 	69.2	 	83.8	 	27.5	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	11	30.7	 	11.5	 	143	 	5.24	 	42.5	 	28.7	 	36.7	 	100	 	86.6	 	97.2	 	36	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	12	20.7	 	7.3	 	302.4	 	10.7	 	42	 	23.6	 	29.7	 	100	 	67.3	 	85.7	 	25.7	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	13	14.9	 	4.7	 	206.8	 	11.39	 	34.2	 	21.3	 	27.3	 	93.5	 	51.2	 	81.4	 	22.1	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	14	18.4	 	7.2	 	193.8	 	3.15	 	31.8	 	25	 	28.4	 	99.6	 	85.4	 	94.9	 	27.1	 	----	M	0.01	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	15	15.8	 	6.2	 	258.3	 	7.46	 	33.7	 	26.1	 	29.7	 	99.2	 	89.4	 	95.6	 	28.6	 	----	M	0.04	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	16	29.8	 	9.1	 	217.2	 	11.63	 	45.1	 	20.3	 	34.3	 	97.7	 	35.4	 	72.2	 	25.3	 	----	M	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	17	25.8	 	8.8	 	201.1	 	9.64	 	45.3	 	33	 	39.4	 	92.9	 	63.4	 	80	 	33.6	 	----	M	0.06	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	18	27.4	 	8.6	 	266.2	 	11.14	 	46.7	 	32.2	 	39.2	 	95.4	 	62.8	 	81.9	 	34	 	----	M	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	19	26.7	 	9.8	 	253.4	 	10.55	 	54	 	27.8	 	40.5	 	98.7	 	41.5	 	73.8	 	31.8	 	----	M	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
1989	1	20	27.8	 	7.3	 	320.4	 	8.21	 	35.8	 	20	 	29.8	 	96.6	 	57.8	 	73.7	 	22.3	 	----	M	0.04	 	----	M	----	M	----	M	----	M	----	M	----	M													icc
