year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	6	21	19.4	 	8.9	 	154.4	 	26.69	 	85.9	 	64.2	 	75.7	 	94.9	 	43.3	 	69.7	 	64.4	 	----	M	0.25	 	78.2	 	69.6	 	73.8	 	73.8	 	69.5	 	71.6	 													mon
1989	6	22	26.2	 	8.7	 	190.5	 	26.82	 	88.7	 	67.6	 	78.3	 	93.3	 	40.9	 	71	 	67.3	 	----	M	0.25	 	80.3	 	70.7	 	75.2	 	75.2	 	70.3	 	72.5	 													mon
1989	6	23	17.9	 	5.9	 	270.3	 	27.49	 	81.1	 	64.4	 	73.2	 	99.4	 	57.3	 	80.6	 	66.4	 	----	M	0.25	 	80.3	 	71.8	 	75.7	 	75.7	 	71.4	 	73.6	 													mon
1989	6	24	11	 	3.8	 	26.3	 	29.93	 	86.6	 	61.6	 	75	 	98.6	 	33.6	 	67	 	61.9	 	----	M	0.27	 	82.6	 	70.8	 	76.3	 	77	 	71.2	 	73.9	 													mon
1989	6	25	21.5	 	7.5	 	172.9	 	24.18	 	90.2	 	65.7	 	77.7	 	95.6	 	46	 	74.4	 	68.4	 	----	M	0.23	 	81.5	 	72.4	 	76.6	 	76.8	 	72.4	 	74.7	 													mon
1989	6	26	39.1	 	8.4	 	198.8	 	21.72	 	89.6	 	67.3	 	74.8	 	98.3	 	46.9	 	86.8	 	70.3	 	----	M	0.2	 	80.9	 	73.6	 	77	 	76.9	 	73.2	 	75	 													mon
1989	6	27	16.4	 	5	 	257.5	 	22.19	 	80	 	63	 	72.3	 	99.7	 	64	 	86.6	 	67.6	 	----	M	0.2	 	80.3	 	71.6	 	76.1	 	76.5	 	72.2	 	74.3	 													mon
1989	6	28	16.3	 	6.2	 	70.6	 	31.32	 	84.3	 	63	 	73.9	 	100	 	29.7	 	68	 	60.8	 	----	M	0.29	 	82.8	 	71.1	 	76.5	 	77.5	 	71.9	 	74.5	 													mon
1989	6	29	17.8	 	6.5	 	77.6	 	32.27	 	79.3	 	51.8	 	66.6	 	92.3	 	34	 	65.4	 	53.2	 	----	M	0.28	 	82	 	70	 	75.7	 	76.9	 	71.6	 	74.5	 													mon
1989	6	30	15.5	 	6.7	 	140.9	 	27.32	 	82.5	 	55	 	70.7	 	95.8	 	45.5	 	72.8	 	61	 	----	M	0.24	 	80.7	 	69.8	 	75.2	 	76.4	 	71.3	 	73.9	 													mon
1989	7	1	26.1	 	6.2	 	151.6	 	19.52	 	84.7	 	63.6	 	73.9	 	96.1	 	56.4	 	82.9	 	68	 	----	M	0.18	 	80.8	 	71.5	 	75.9	 	76.6	 	72	 	74.3	 													mon
1989	7	2	18.1	 	5.6	 	82.3	 	26.65	 	85.2	 	63.3	 	74.7	 	99.3	 	44.5	 	79.5	 	67.1	 	----	M	0.25	 	82.5	 	71.8	 	76.8	 	77.6	 	72.2	 	74.8	 													mon
1989	7	3	15.8	 	5	 	45.5	 	29.24	 	86.5	 	62.4	 	75.4	 	100	 	42.1	 	77	 	66.6	 	----	M	0.27	 	83.8	 	72.5	 	77.9	 	78.7	 	73	 	75.7	 													mon
1989	7	4	22.2	 	7.6	 	37.1	 	30.77	 	89.9	 	64.4	 	77	 	98.9	 	27.4	 	68.6	 	63.9	 	----	M	0.29	 	84.6	 	73.9	 	78.8	 	79.3	 	74	 	76.6	 													mon
1989	7	5	17.3	 	4.7	 	64.8	 	31.54	 	89	 	60.4	 	75.9	 	90.2	 	27.2	 	60.3	 	59.4	 	----	M	0.3	 	85	 	72.2	 	78.4	 	79.5	 	73.5	 	76.5	 													mon
1989	7	6	11.2	 	4.7	 	175.1	 	29.87	 	91.6	 	66.1	 	79.5	 	93.9	 	36.8	 	68.3	 	66.9	 	----	M	0.28	 	87.6	 	74	 	80.2	 	81.1	 	74.5	 	77.5	 													mon
1989	7	7	11.3	 	5.4	 	269.5	 	26.08	 	94.2	 	65.6	 	81.3	 	95.4	 	51.8	 	75.1	 	72	 	----	M	0.25	 	87.7	 	75.8	 	81.3	 	81.8	 	75.8	 	78.6	 													mon
1989	7	8	18.2	 	7.3	 	190.3	 	27.36	 	95.9	 	69.9	 	83.3	 	97.2	 	40.8	 	72.1	 	72.5	 	----	M	0.27	 	88.6	 	77.1	 	82.6	 	82.6	 	76.8	 	79.7	 													mon
1989	7	9	21.3	 	10.2	 	209.8	 	27.93	 	93.9	 	73	 	82.6	 	92.4	 	47.3	 	74.6	 	72.9	 	----	M	0.27	 	88.4	 	77.5	 	82.6	 	82.8	 	77.4	 	80.1	 													mon
1989	7	10	18.4	 	8.5	 	217.8	 	28.3	 	96.6	 	70.4	 	84	 	98.5	 	45.6	 	76.3	 	75	 	----	M	0.28	 	90	 	77.8	 	83.5	 	83.8	 	77.6	 	80.6	 													mon
