year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site				
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF						
1989	10	24	15.8	 	5.1	 	171.9	 	11.62	 	75.8	 	55.3	 	66.0	 	94.6	 	48.8	 	72.9	 	56.5	 	0.00	 	0.10	 	61.1	 	57.0	 	58.8	 	60.8	 	56.4	 	58.3	 													oln				
1989	10	25	12.3	 	2.2	 	159.3	 	13.42	 	74.4	 	50.1	 	61.2	 	98.8	 	39.0	 	76.5	 	52.0	 	0.00	 	0.11	 	61.6	 	57.0	 	59.4	 	61.3	 	57.1	 	59.2	 													oln				
1989	10	26	12.7	 	2.4	 	150.5	 	13.92	 	74.7	 	47.1	 	60.3	 	99.2	 	35.4	 	74.7	 	50.4	 	0.00	 	0.12	 	61.6	 	56.8	 	59.2	 	61.3	 	57.0	 	59.2	 													oln				
1989	10	27	15.0	 	2.3	 	193.5	 	14.42	 	75.8	 	45.3	 	59.0	 	99.1	 	17.5	 	68.3	 	45.0	 	0.00	 	0.12	 	61.2	 	56.6	 	58.8	 	61.0	 	57.0	 	59.2	 													oln				
1989	10	28	14.2	 	2.5	 	181.7	 	12.21	 	73.9	 	43.7	 	58.6	 	96.9	 	20.4	 	65.9	 	44.6	 	0.00	 	0.10	 	60.4	 	55.5	 	58.1	 	60.4	 	56.3	 	58.5	 													oln				
1989	10	29	18.2	 	4.1	 	172.8	 	12.06	 	74.4	 	49.6	 	62.1	 	95.1	 	35.6	 	64.6	 	48.7	 	0.00	 	0.10	 	61.0	 	56.5	 	58.6	 	61.0	 	56.7	 	58.8	 													oln				
1989	10	30	23.7	 	6.9	 	190.5	 	13.73	 	74.9	 	47.5	 	63.7	 	92.3	 	18.6	 	50.7	 	42.6	 	0.00	 	0.12	 	60.5	 	56.4	 	58.6	 	60.7	 	56.9	 	59.0	 													oln				
1989	10	31	19.0	 	5.7	 	294.1	 	5.38	 	54.7	 	34.2	 	44.2	 	97.9	 	51.3	 	84.8	 	39.6	 	0.07	 	0.04	 	59.5	 	52.7	 	56.5	 	60.6	 	54.5	 	57.7	 													oln				
1989	11	1	14.8	 	3.4	 	181.5	 	11.22	 	55.2	 	32.0	 	44.4	 	98.5	 	38.1	 	75.1	 	35.8	 	0.00	 	0.08	 	54.2	 	50.1	 	52.3	 	56.4	 	52.0	 	54.0	 													oln				
1989	11	2	20.8	 	5.5	 	340.6	 	8.16	 	46.4	 	30.2	 	40.5	 	96.6	 	47.5	 	75.4	 	32.9	 	0.00	 	0.05	 	52.6	 	49.1	 	51.3	 	55.0	 	50.9	 	52.9	 													oln				
1989	11	3	13.2	 	3.5	 	167.6	 	14.17	 	47.2	 	24.9	 	37.0	 	96.4	 	36.8	 	65.2	 	25.0	 	0.00	 	0.08	 	50.9	 	46.3	 	48.7	 	52.9	 	48.4	 	50.5	 													oln				
1989	11	4	26.1	 	10.0	 	183.0	 	10.75	 	56.6	 	37.8	 	47.1	 	61.8	 	35.1	 	51.2	 	29.8	 	0.00	 	0.08	 	50.3	 	46.9	 	48.6	 	51.8	 	48.2	 	50.0	 													oln				
1989	11	5	36.4	 	12.8	 	197.1	 	3.11	 	69.0	 	49.9	 	60.1	 	87.5	 	49.6	 	61.2	 	46.6	 	0.00	 	0.03	 	53.8	 	48.9	 	50.9	 	54.2	 	49.4	 	51.3	 													oln				
1989	11	6	15.1	 	4.1	 	8.0	 	13.11	 	58.9	 	46.5	 	51.4	 	90.4	 	37.7	 	70.0	 	41.4	 	0.00	 	0.09	 	55.4	 	51.4	 	53.2	 	55.3	 	51.5	 	53.4	 													oln				
