year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	6	26	30.6	 	6	 	201.3	 	24.96	 	90.4	 	65.4	 	79.3	 	97.9	 	44.9	 	74.3	 	69.4	 	----	M	0.24	 	81.6	 	73.4	 	77	 	78.1	 	72.9	 	75.4	 													orr
1989	6	27	11	 	3	 	282.4	 	17.29	 	80.6	 	64.9	 	72	 	98	 	57.5	 	85.9	 	67.3	 	----	M	0.15	 	78.7	 	72.4	 	75.4	 	76.5	 	72.2	 	74.5	 													orr
1989	6	28	15	 	4.4	 	23.9	 	26.47	 	85.2	 	64.4	 	74.5	 	97.8	 	38.3	 	76	 	65.3	 	----	M	0.24	 	81.2	 	71.8	 	76.1	 	77.8	 	71.6	 	74.7	 													orr
1989	6	29	15.2	 	5	 	66.3	 	30.18	 	78.9	 	57.2	 	68.2	 	96.8	 	30	 	68.4	 	55.9	 	----	M	0.26	 	79.1	 	70.7	 	74.8	 	76.6	 	71.3	 	74.1	 													orr
1989	6	30	12.7	 	3.1	 	147.5	 	28.17	 	84.5	 	57.1	 	71.8	 	97.4	 	33.3	 	73.2	 	61	 	----	M	0.25	 	79.6	 	69.8	 	74.5	 	76.6	 	70.5	 	73.6	 													orr
1989	7	1	21	 	5	 	127.2	 	21.95	 	84.5	 	64.5	 	74.1	 	97.6	 	48.7	 	79.8	 	66.9	 	----	M	0.2	 	79.4	 	72.5	 	75.6	 	76.9	 	72.3	 	74.5	 													orr
1989	7	2	17.5	 	4.5	 	62	 	21.53	 	83.6	 	62.6	 	73.6	 	98.1	 	55.1	 	82.7	 	67.5	 	----	M	0.2	 	79.1	 	71.6	 	75.2	 	76.7	 	71.9	 	74.3	 													orr
1989	7	3	20.6	 	5.4	 	10.6	 	26.76	 	84.3	 	62	 	74.3	 	98	 	45.8	 	76.6	 	65.7	 	----	M	0.24	 	79.9	 	71.5	 	75.6	 	77.1	 	71.8	 	74.5	 													orr
1989	7	4	16.2	 	3.8	 	13.8	 	26.19	 	89.4	 	64.1	 	77.4	 	98	 	46	 	72.5	 	66.9	 	----	M	0.24	 	82.4	 	72.1	 	76.8	 	78.6	 	72.3	 	75.2	 													orr
1989	7	5	17.2	 	3.3	 	22.3	 	29.09	 	87.3	 	58.6	 	75	 	97	 	31.4	 	69.8	 	62.8	 	----	M	0.27	 	82.1	 	72	 	76.8	 	78.6	 	72.5	 	75.6	 													orr
1989	7	6	8.3	 	2.2	 	257.9	 	26.32	 	91.5	 	65.7	 	78.6	 	97.6	 	34.2	 	74.4	 	68	 	----	M	0.25	 	83.4	 	73.3	 	78.1	 	79.7	 	73.2	 	76.5	 													orr
1989	7	7	15.4	 	3.8	 	291.3	 	26.73	 	95.5	 	65.3	 	81.7	 	97.9	 	34.3	 	69.6	 	69.1	 	----	M	0.26	 	84.1	 	73.9	 	78.8	 	80.3	 	74	 	77	 													orr
1989	7	8	15.5	 	5.4	 	224.3	 	27.15	 	94.5	 	73.8	 	84.7	 	93.1	 	36.8	 	65.4	 	71.1	 	----	M	0.26	 	84.8	 	76	 	80.1	 	81.3	 	75.5	 	78.3	 													orr
1989	7	9	20.4	 	7.3	 	212.1	 	26.96	 	92.5	 	74.6	 	83.5	 	88.3	 	47.9	 	70.2	 	72.3	 	----	M	0.26	 	84.3	 	76.2	 	80.1	 	81.1	 	75.9	 	78.4	 													orr
1989	7	10	18.3	 	6.6	 	218.1	 	27.71	 	93.9	 	75.9	 	84.9	 	90.6	 	46.6	 	70	 	73.6	 	----	M	0.27	 	85.6	 	76.6	 	80.8	 	82	 	76.2	 	79	 													orr
1989	7	11	24.6	 	6.2	 	239.6	 	27.84	 	92.9	 	71.2	 	84	 	87.8	 	41.2	 	65.3	 	70.5	 	----	M	0.27	 	86.2	 	77.5	 	81.3	 	82.6	 	77	 	79.7	 													orr
