year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1990	4	18	24.2	 	7.9	 	73.3	 	27.77	 	57.5	 	35.7	 	47.1	 	83.9	 	63	E	52.4	 	29.1	 	0	 	0.19	 	56.3	 	45.6	 	50.7	 	53.7	 	48.2	 	51.1	 													rnd
1990	4	19	15.2	 	4.4	 	122.2	 	6.87	 	62.4	 	43.6	 	54.1	 	94.9	 	88	E	79.9	 	48	 	0	 	0.05	 	54.1	 	48	 	51.1	 	53.2	 	49.4	 	51.3	 													rnd
1990	4	20	24.7	 	7.1	 	193.6	 	4.56	 	67.4	 	60.7	 	63.9	 	99.6	 	87.8	E	94.1	 	62.1	 	0.01	 	0.04	 	57.7	 	52	 	54.9	 	55.9	 	51.5	 	53.4	 													rnd
1990	4	21	14.4	 	3.9	 	350.8	 	18.29	 	70.5	 	54.8	 	63.5	 	100	 	82	E	94.1	 	61.7	 	0	 	0.15	 	65.5	 	55.4	 	59.9	 	60.7	 	54.2	 	57	 													rnd
1990	4	22	10	 	2.7	 	99	 	24.87	 	76.2	 	48.2	 	63.7	 	100	 	56	E	82	 	57.6	 	0	 	0.21	 	68.3	 	55.1	 	61.3	 	62.9	 	55.6	 	59	 													rnd
1990	4	23	15.5	 	4.3	 	166.4	 	24.57	 	83.3	 	55	 	70.9	 	97	 	43	E	69.5	 	59.2	 	0	 	0.22	 	67.7	 	57.7	 	63	 	63.7	 	58	 	60.8	 													rnd
1990	4	24	20	 	6.3	 	181.4	 	26.32	 	84.2	 	64.9	 	74.7	 	94.2	 	46.4	 	72.2	 	64.6	 	0	 	0.24	 	69.9	 	60.4	 	65.1	 	65.7	 	60.1	 	62.8	 													rnd
1990	4	25	18.8	 	5.4	 	183.7	 	23.19	 	83.1	 	64.5	 	73.4	 	93.6	 	44.1	 	72.4	 	63.3	 	0	 	0.21	 	70.3	 	62.3	 	66.2	 	66.6	 	62.1	 	64.2	 													rnd
1990	4	26	24.5	 	6.7	 	173.8	 	24.61	 	82	 	65	 	73.2	 	89	 	40.2	 	67.1	 	60.8	 	0	 	0.22	 	70.3	 	62.6	 	66.4	 	66.8	 	62.5	 	64.6	 													rnd
1990	4	27	27.3	 	7.8	 	162.4	 	22.45	 	82.4	 	61	 	71.8	 	99.1	 	39	E	68.8	 	59.9	 	0.13	 	0.21	 	69.8	 	62.3	 	66	 	66.7	 	62.6	 	64.6	 													rnd
1990	4	28	29.7	 	7.4	 	297.5	 	3.79	 	61.4	 	53.8	 	58.3	 	99.7	 	80.7	 	94.3	 	56.5	 	0.64	 	0.03	 	66.7	 	59.8	 	63.1	 	66.1	 	60.9	 	63.5	 													rnd
1990	4	29	20.7	 	6.2	 	118.3	 	26.66	 	76.2	 	44.4	 	62.4	 	99.5	 	50.9	 	81.1	 	55.8	 	0	 	0.22	 	66.8	 	56.6	 	61.9	 	64.2	 	58.6	 	61.3	 													rnd
1990	4	30	44.4	 	7.1	 	318.5	 	14.62	 	67.2	 	51.8	 	59	 	100	 	61.3	 	87.3	 	55	 	0.15	 	0.11	 	66	 	60.9	 	63.1	 	64	 	61.1	 	62.6	 													rnd
1990	5	1	14	 	3.9	 	16.3	 	17.68	 	65	 	50.3	 	57.4	 	98.3	 	42.5	 	72.2	 	47.7	 	0.27	 	0.14	 	65.4	 	58.6	 	61.7	 	63.4	 	59.5	 	61.5	 													rnd
1990	5	2	19.3	 	7.3	 	71.5	 	8.1	 	61.2	 	52.6	 	56.1	 	97.1	 	51.3	 	70.7	 	46.4	 	0	 	0.06	 	62.4	 	58.2	 	59.9	 	62.8	 	59.1	 	60.4	 													rnd
1990	5	3	23.6	 	8	 	75.2	 	6.28	 	64.3	 	51.1	 	57.4	 	99.4	 	93.4	 	97.5	 	56.7	 	0.7	 	0.05	 	61.3	 	56.2	 	58.6	 	60.7	 	57.3	 	59	 													rnd
1990	5	4	27	 	9.1	 	267.1	 	20.23	 	75.5	 	52.9	 	65.1	 	100	 	48.2	 	86	 	60.4	 	0.04	 	0.17	 	68	 	58.2	 	62.4	 	64.3	 	58.4	 	61	 													rnd
1990	5	5	25.1	 	7.2	 	332	 	22.03	 	65.4	 	49.4	 	55.9	 	98.2	 	45.5	 	78.3	 	48.4	 	0	 	0.15	 	66.3	 	58	 	61.9	 	63.5	 	58.9	 	61.3	 													rnd
1990	5	6	11.5	 	2.7	 	325.7	 	25.34	 	68.6	 	53	 	59.7	 	98	 	38.3	 	77.8	 	52	 	0	 	0.2	 	69.4	 	58.6	 	63.5	 	65.5	 	59.3	 	62.2	 													rnd
1990	5	7	23.7	 	8.1	 	197.6	 	27.24	 	74.9	 	55.9	 	66	 	89.4	 	50.6	E	67.8	 	54.5	 	0	 	0.23	 	68.1	 	59.6	 	64	 	65.4	 	60.6	 	63	 													rnd
1990	5	8	25	 	7.2	 	191.9	 	19.1	 	76.6	 	58.6	 	68.4	 	89.8	 	44.4	 	69.2	 	57.4	 	0	 	0.17	 	67.7	 	60.8	 	64.4	 	65.4	 	61.4	 	63.5	 													rnd
1990	5	9	42.7	 	9.3	 	196.1	 	12.94	 	73.1	 	54.4	 	64.6	 	99.4	 	67.1	 	87.3	 	60.6	 	0.31	 	0.11	 	66.5	 	61.4	 	64	 	65.1	 	62.1	 	63.7	 													rnd
1990	5	10	35.5	 	12	 	273.3	 	27.34	 	60.9	 	49.6	 	55	 	91.7	 	39.8	 	64.1	 	42.3	 	0	 	0.2	 	65.6	 	58.9	 	62.1	 	64.4	 	60.2	 	62.1	 													rnd
1990	5	11	16.4	 	5.1	 	195.9	 	25.04	 	67.7	 	46.4	 	57.7	 	97.3	 	36.8	 	65.2	 	45.1	 	0	 	0.2	 	66.9	 	56.7	 	61.7	 	64	 	58.7	 	61.3	 													rnd
1990	5	12	27.2	 	7.7	 	160.1	 	6.72	 	70	 	53	 	60.8	 	100	 	82.2	 	95.8	 	59.5	 	0.83	 	0.05	 	63.9	 	59	 	61.3	 	63.2	 	59.9	 	61.3	 													rnd
1990	5	13	25.8	 	6.4	 	313.3	 	9.93	 	61.9	 	54.4	 	57.7	 	97.3	 	79.5	 	92.5	 	55.6	 	0	 	0.07	 	64	 	59.8	 	61.7	 	62.8	 	60.1	 	61.3	 													rnd
1990	5	14	18.5	 	4.8	 	144.6	 	17.95	 	74.3	 	52.8	 	63.5	 	99.3	 	71.4	 	89.4	 	60.1	 	0	 	0.14	 	66.8	 	58.9	 	62.6	 	64.2	 	59.8	 	61.9	 													rnd
1990	5	15	25.4	 	6.3	 	138.9	 	7.12	 	77.2	 	64.6	 	70.5	 	100	 	87.5	 	95.1	 	68.9	 	0.49	 	0.06	 	69.2	 	62.1	 	65.1	 	66.7	 	61.9	 	63.7	 													rnd
1990	5	16	47.6	 	6.8	 	156.4	 	5.71	 	75.1	 	59.9	 	66.2	 	100	 	93	E	98.7	 	65.8	 	3.17	 	0.05	 	69.1	 	64.4	 	66.7	 	67.3	 	64.1	 	65.7	 													rnd
1990	5	17	33.7	 	9.8	 	277	 	30.74	 	71.8	 	56.5	 	64.8	 	100	 	39	E	68.2	 	52.7	 	0	 	0.26	 	72.3	 	61.5	 	66.6	 	69	 	62.8	 	65.7	 													rnd
1990	5	18	14.1	 	4.5	 	207	 	22.88	 	76.8	 	51.5	 	66.7	 	97.6	 	50	E	72.5	 	57	 	0	 	0.2	 	72.2	 	60.8	 	66.6	 	68.8	 	62.7	 	65.8	 													rnd
1990	5	19	29.2	 	8.5	 	173.3	 	10.07	 	73.6	 	64.4	 	69.1	 	96.5	 	56.1	 	83.1	 	63.5	 	0	 	0.09	 	68.3	 	64.4	 	66.4	 	67.9	 	64.6	 	66	 													rnd
1990	5	20	15.2	 	5.6	 	254.9	 	17.78	 	75.7	 	60.4	 	68.9	 	98.5	 	71	 	90.6	 	66	 	0	 	0.15	 	73.5	 	65	 	68.5	 	69.9	 	64.7	 	66.9	 													rnd
1990	5	21	18.3	 	6.7	 	7.9	 	4.03	 	60.9	 	56.9	 	58.5	 	98.4	 	91.9	 	95.4	 	57.2	 	0.12	 	0.03	 	68.9	 	62	 	65.1	 	69	 	63.4	 	65.8	 													rnd
1990	5	22	19	 	5.7	 	358.1	 	24.14	 	65.3	E	54.5	E	59.5	 	96	E	50	E	72.9	 	50.2	 	0	 	0.19	 	68.5	 	60.3	 	64	 	66.5	 	61.9	 	64	 													rnd
1990	5	23	13.5	 	3.2	 	114.2	 	25.11	 	70.1	 	47.1	 	59.5	 	97.8	 	35	 	74.6	 	50.4	 	0	 	0.2	 	71.9	 	60	 	65.8	 	68.6	 	61.8	 	65.1	 													rnd
1990	5	24	17.8	 	4.8	 	111.1	 	22.94	 	73	 	51.1	 	63.7	 	97.4	 	44.9	 	75.4	 	55	 	0	 	0.19	 	72.4	 	61.9	 	67.1	 	68.9	 	63.3	 	66.2	 													rnd
1990	5	25	29.3	 	8.4	 	164.4	 	8.77	 	74.3	 	61.4	 	68.4	 	99.1	 	79.8	 	90.7	 	65.5	 	1.28	 	0.07	 	70.3	 	64.8	 	67.3	 	68.5	 	64.9	 	66.6	 													rnd
1990	5	26	17.3	 	4.2	 	246.4	 	17.87	 	75.3	 	63.7	E	68	 	100	 	79	E	93.9	 	66	 	2.13	 	0.15	 	75.3	 	66	 	70.3	 	71.9	 	65.9	 	68.4	 													rnd
1990	5	27	14	 	4.7	 	28.5	 	10.97	 	69.7	 	61.9	 	66	 	99.1	 	76	 	90.6	 	63.1	 	0.02	 	0.09	 	72.2	 	67.9	 	70	 	71.5	 	67.9	 	69.4	 													rnd
1990	5	28	16.2	 	5.1	 	351.1	 	17.43	 	72.6	 	60.9	 	65.3	 	99.2	 	54	 	86.4	 	60.8	 	0.15	 	0.14	 	72.8	 	66.3	 	69.1	 	70.7	 	66.7	 	68.5	 													rnd
1990	5	29	13.6	 	4.2	 	340.2	 	30.28	 	76.8	 	57.8	 	66.6	 	99.9	 	33	 	72.8	 	56.1	 	0	 	0.26	 	75.5	 	65.1	 	70	 	72.1	 	66.2	 	69.1	 													rnd
