year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	12	14	----	M	----	M	----	M	5.8	 	21.1	 	10.3	 	17.4	 	93.5	 	42.5	 	75.6	 	10.6	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	15	----	M	----	M	----	M	11.67	 	18.1	 	-3.2	 	6.3	 	92.6	 	43.3	 	70	 	-1.8	 	0.07	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	16	----	M	----	M	----	M	11.89	 	12.1	 	-8.2	 	1.2	 	86.8	 	50	 	71.5	 	-6.2	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	17	----	M	----	M	----	M	7.19	 	21	 	0.7	 	12.7	 	89.4	 	45.7	 	70.6	 	4.8	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	18	----	M	----	M	----	M	10.35	 	27.4	 	1.2	 	16	 	93.5	 	48.5	 	74.5	 	8.8	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	19	----	M	----	M	----	M	10.29	 	20.2	 	-0.1	 	15.1	 	93.8	 	64.6	 	83.9	 	10.9	 	0.01	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	20	----	M	----	M	----	M	11.3	 	27.9	 	-4.1	 	10	 	91.9	 	30.7	 	70	 	1.2	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	21	----	M	----	M	----	M	7.11	 	12	 	-10.9	 	0.7	 	90.2	 	39.5	 	59.1	 	-10.5	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	22	----	M	----	M	----	M	11.04	 	-1.7	 	-12.7	 	-8.3	 	67.4	 	47.9	 	58.5	 	-19.1	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	23	----	M	----	M	----	M	12.1	 	6.4	 	-11.7	 	-4.7	 	81.4	 	44.6	 	64.4	 	-13.9	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	24	----	M	----	M	----	M	6.99	 	18.4	 	-8.8	 	10.4	 	89.3	 	36.9	 	69.5	 	1.8	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	25	----	M	----	M	----	M	4.2	 	35.5	 	18.4	 	26.4	 	97.3	 	85.8	 	90.3	 	24.1	 	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
1989	12	26	----	M	----	M	----	M	9.34	 	39.6	 	23.7	 	28.2	 	92.9	 	48.8	 	66.2	 	18.1	 	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M													siu
