year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1987	12	31	----	M	----	M	----	M	----	M	----	M	----	M	----	M	----	M	----	M	0	 	----	M	----	M	----	M	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	1	14.8	E	9.2	 	249	 	9.82	 	6.8	E	-5.5	E	1.4	 	92.3	E	76.6	E	85.8	 	-1.8	 	----	M	0	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	2	15.2	E	5.8	 	197.6	 	10.02	 	26	E	-9.5	E	10.6	 	93.6	E	79.3	E	90.1	 	8.2	 	----	M	0.04	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	3	13.4	E	8.6	 	235.4	 	7.11	 	29.5	E	11.9	E	20.1	 	96	E	85.7	E	91.6	 	18	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	4	23.3	E	16.4	 	276.4	 	8.02	 	7.5	E	-8.3	E	1.8	 	89.1	E	66.1	E	78.9	 	-3.3	 	----	M	0	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	5	16.8	E	11.2	 	274.7	 	10.09	 	-2.8	E	-10.5	E	-7.4	 	78.6	E	69.9	E	75.1	 	-13.2	 	----	M	0	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	6	9.2	E	4.9	 	303.4	 	10.25	 	-1.7	E	-18.8	E	-9.9	 	87.9	E	64.1	E	77.8	 	-15.2	 	----	M	0	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	7	6.5	E	2.8	 	4.3	 	6.16	 	13.1	E	-17.3	E	-2.2	 	91.8	E	58.3	E	81.4	 	-6.7	 	----	M	0	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
1988	1	8	10.3	E	5.5	 	257.4	 	9.53	 	15.7	E	-8.5	E	3	 	91.5	E	85.7	E	89.4	 	0.5	 	----	M	0.01	 	----	M	----	M	----	M	----	M	----	M	----	M													stc
