year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	1	1	18.9	 	7.7	 	207.1	 	3.99	 	27.1	 	22.1	 	25.7	 	100	 	100	 	100	 	25.7	 	----	M	0.02	 	35.9	 	34.9	 	35.4	 	40.9	 	40.2	 	40.6	 													ste
1989	1	2	23.2	 	10.5	 	273.2	 	6.4	 	29.4	 	16.4	 	23.4	 	100	 	96	 	99.4	 	23.2	 	----	M	0.03	 	35.9	 	34.9	 	35.4	 	41.1	 	40.2	 	40.6	 													ste
1989	1	3	37.7	E	17.4	 	285.7	 	4.91	 	32.6	 	21.4	 	28.4	 	100	 	91.1	 	98.2	 	28	 	----	M	0.02	 	35.9	 	34.6	 	35.4	 	41	 	39.9	 	40.5	 													ste
1989	1	4	26.1	 	10.9	 	213.7	 	10.32	 	25.2	 	9.7	 	18.7	 	98.8	 	87.8	 	96.6	 	17.8	 	----	M	0.04	 	35.9	 	34.8	 	35.4	 	40.9	 	40	 	40.5	 													ste
1989	1	5	28.6	 	11.7	 	164.8	 	4.86	 	34.6	 	24.4	 	30.9	 	100	 	95.9	 	98.8	 	30.7	 	----	M	0.02	 	35.7	 	34.1	 	35.2	 	40.8	 	39.8	 	40.5	 													ste
1989	1	6	13.3	 	6.6	 	62.8	 	1.92	 	34.8	 	33.4	 	34	 	100	 	100	 	100	 	34	 	----	M	0.01	 	35.5	 	34.4	 	35.1	 	40.5	 	39.8	 	40.1	 													ste
1989	1	7	42.8	E	17.2	 	193.2	 	1.77	 	53.3	 	24.7	 	39.6	 	100	 	95.1	 	99.8	 	39.6	 	----	M	0.01	 	37.2	 	34.5	 	35.4	 	41.2	 	39.7	 	40.3	 													ste
1989	1	8	37.9	E	23.5	 	268	 	4.77	 	25.4	 	13.7	 	18	 	98	 	70.9	 	84.4	 	14	 	----	M	0.02	 	37	 	34.5	 	35.4	 	41.3	 	39.8	 	40.5	 													ste
1989	1	9	33.6	 	13.9	 	201.8	 	10.19	 	28.9	 	10.6	 	19.8	 	96.8	 	74.1	 	90.6	 	17.4	 	----	M	0.04	 	35.3	 	33.4	 	34.2	 	40.5	 	39.1	 	39.7	 													ste
1989	1	10	29.6	 	11.6	 	206.1	 	8.68	 	38.1	 	26.8	 	31.8	 	100	 	85.3	 	95.3	 	30.6	 	----	M	0.04	 	34.3	 	33.1	 	33.6	 	39.8	 	38.9	 	39.4	 													ste
1989	1	11	31	 	15.6	 	130.3	 	7.74	 	40.7	 	27.9	 	34.7	 	100	 	97.3	 	99.9	 	34.5	 	----	M	0.04	 	34.3	 	33.3	 	33.8	 	39.7	 	38.6	 	39.2	 													ste
1989	1	12	32.8	 	17.2	 	296.8	 	10	 	40.1	 	25.9	 	31.6	 	100	 	80.6	 	95.7	 	30.6	 	----	M	0.05	 	34.5	 	33.3	 	34	 	39.5	 	38.5	 	39	 													ste
1989	1	13	20.4	 	7.7	 	255.4	 	11.08	 	33.1	E	21.6	 	27.3	 	100	 	76	E	93.5	 	25.5	 	----	M	0.05	 	34.6	 	33.5	 	34.2	 	39.6	 	38.7	 	39.2	 													ste
1989	1	14	25.9	 	10.1	 	196.7	 	3.21	 	31.9	 	23.8	 	28.2	 	100	 	95.2	 	99	 	28	 	----	M	0.02	 	34.6	 	33.5	 	34	 	39.6	 	38.8	 	39.2	 													ste
1989	1	15	20.9	 	11	 	259.5	 	5.21	 	31.5	 	22.7	 	28.8	 	100	 	98	 	99.8	 	28.6	 	----	M	0.02	 	34.4	 	33.5	 	34	 	39.5	 	38.8	 	39.2	 													ste
1989	1	16	33.5	 	15.5	 	219.2	 	11.83	 	40.1	 	20.8	 	31.3	 	100	 	87.2	 	95.6	 	30	 	----	M	0.06	 	34.4	 	33.3	 	34	 	39.5	 	38.8	 	39.2	 													ste
1989	1	17	29	 	13.4	 	218.5	 	10.07	 	45.2	 	31.2	 	37	 	100	 	85.5	 	95.7	 	36	 	----	M	0.06	 	34.4	 	33.4	 	34	 	39.4	 	38.7	 	39	 													ste
