year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in	xst4er	min_soiltemp_4in	nst4er	avg_soiltemp_4in	ast4er	max_soiltemp_4in	xst8er	min_soiltemp_8in	nst8er	avg_soiltemp_8in	ast8er	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		
1989	1	1	14	 	3.7	 	196.8	 	3.72	 	27.5	 	20.2	 	23.5	 	100	 	100	 	100	 	23.5	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	2	17.5	 	6	 	257.9	 	6.49	 	28.9	 	18.9	 	24.1	 	100	 	87.8	 	97.8	 	23.5	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	3	43.3	 	12.2	 	290.3	 	6.61	 	34.8	 	16	 	28.4	 	100	 	77.7	 	93.1	 	26.6	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	4	20.8	 	5.9	 	171.3	 	8.8	 	25.3	 	8.2	 	18.5	 	99.7	 	84.2	 	95	 	17.2	 	----	M	0.04	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	5	18.2	 	5.3	 	144	 	2.64	 	37	 	23.9	 	31.5	 	100	 	85.6	 	97.9	 	30.9	 	----	M	0.01	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	6	12.6	 	4.5	 	58.3	 	0.94	 	33.5	 	32.1	 	32.9	 	100	 	100	 	100	 	32.9	 	----	M	0	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	7	37.1	 	10.8	 	223.9	 	3.85	 	58.9	 	16.8	 	38.5	 	100	 	81.5	 	99.1	 	38.3	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	8	35.4	 	12.8	 	270.1	 	6.22	 	18.9	 	10.5	 	14.9	 	93.6	 	66.2	 	80.1	 	9.7	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	9	27.4	 	8.6	 	194.4	 	10.22	 	30.9	 	4.6	 	19.6	 	99.4	 	65.8	 	86.4	 	16	 	----	M	0.04	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	10	24.7	 	6.6	 	203.2	 	9.05	 	40.8	 	25.9	 	31.6	 	100	 	78.2	 	90	 	28.9	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	11	26.9	 	8.9	 	151.6	 	4.65	 	42.6	 	27.4	 	36	 	100	 	94.4	 	99.3	 	35.8	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	12	24.8	 	8.7	 	303.7	 	10.05	 	40.5	 	23.1	 	28.4	 	100	 	72.7	 	91.8	 	26.2	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	13	13.3	 	4	 	205.2	 	11.44	 	35.6	 	16.9	 	26.2	 	100	 	56.3	 	86.6	 	22.3	 	----	M	0.05	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	14	16.6	 	6.1	 	196.2	 	3.31	 	31.1	 	24.7	 	28	 	100	 	92.1	 	98.1	 	27.5	 	----	M	0.02	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
1989	1	15	15.1	 	5.7	 	267.2	 	6.58	 	34.2	 	23.6	 	28.2	 	100	 	93.7	 	98.5	 	27.9	 	----	M	0.03	 	----	M	----	M	----	M	----	M	----	M	----	M	wfp
