year	month	day	max_wind_gust	xwser	avg_wind_speed	awser	avg_wind_dir	awder	sol_rad	soler	max_air_temp	xater	min_air_temp	nater	avg_air_temp	aater	max_rel_hum	xrher	min_rel_hum	nrher	avg_rel_hum	arher	avg_dewpt_temp	adper	precip	pcer	pot_evapot	pevaper	max_soiltemp_4in_sod	xst4soder	min_soiltemp_4in_sod	nst4soder	avg_soiltemp_4in_sod	ast4soder	max_soiltemp_8in_sod	xst8soder	min_soiltemp_8in_sod	nst8soder	avg_soiltemp_8in_sod	ast8soder	max_soiltemp_4in_bare	xst4bareer	min_soiltemp_4in_bare	nst4bareer	avg_soiltemp_4in_bare	ast4bareer	max_soiltemp_2in_bare	xst2bareer	min_soiltemp_2in_bare	nst2bareer	avg_soiltemp_2in_bare	ast2bareer	site
			mph		mph		deg		MJ/m*m		degF		degF		degF		%		%		%		degF		in		in		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		degF		
1989	1	1	12.9	 	3.5	 	180.2	 	5.9	 	31.1	 	20.6	 	25.2	 	99.2	 	96.5	 	97.6	 	24.6	 	0	 	0.03	 	34.3	 	31.7	 	32.9	 	35.8	 	33.7	 	34.7	 													sfm
1989	1	2	19.7	 	5.2	 	252.2	 	6.97	 	31.5	 	25.5	 	27.9	 	99.5	 	74.6	 	91.9	 	25.7	 	0.04	 	0.03	 	34.4	 	31.7	 	33.1	 	35.9	 	33.7	 	34.9	 													sfm
1989	1	3	38.8	 	12.5	 	291.6	 	10.04	 	38.9	 	21.8	 	32.9	 	99.4	 	58.8	 	78.6	 	26.6	 	0.01	 	0.06	 	34.5	 	31.9	 	33.3	 	36	 	33.8	 	34.9	 													sfm
1989	1	4	15.7	 	5.6	 	169.5	 	10.17	 	32.6	 	9.7	 	23.5	 	93.1	 	60.8	 	79.6	 	18.1	 	0	 	0.05	 	34.4	 	31.5	 	32.9	 	35.9	 	33.6	 	34.7	 													sfm
1989	1	5	16.6	 	5.4	 	152.3	 	2.21	 	40.4	 	29	 	35.1	 	100	 	64.8	 	88.2	 	31.6	 	0.14	 	0.01	 	34	 	31.4	 	32.7	 	35.6	 	33.4	 	34.5	 													sfm
1989	1	6	13.9	 	4.2	 	34.7	 	1.3	 	36.3	 	33.9	 	34.9	 	100	 	99.9	 	100	 	34.9	 	0.05	 	0.01	 	34.9	 	31.5	 	32.9	 	35.7	 	33.4	 	34.5	 													sfm
1989	1	7	38.1	 	13.3	 	235.8	 	5.89	 	65.6	 	20.5	 	43.5	 	100	 	59.7	 	91.3	 	41	 	0	 	0.04	 	49.2	 	32.5	 	39.9	 	44.6	 	33.7	 	38.8	 													sfm
1989	1	8	35.9	 	10.7	 	268.7	 	7.1	 	23.9	 	17.1	 	19.9	 	73.4	 	42.4	 	54	 	5.7	 	0.03	 	0.03	 	37.9	 	30.4	 	33.4	 	41.3	 	33.8	 	36.5	 													sfm
1989	1	9	25.6	 	8.2	 	182.9	 	10.61	 	34.7	 	4.7	 	23.2	 	92.6	 	40.3	 	65.4	 	12.6	 	0	 	0.05	 	33.4	 	26	 	30.6	 	35.8	 	32.6	 	34	 													sfm
1989	1	10	22.1	 	6.9	 	185.1	 	8.94	 	45.1	 	28	 	33.8	 	95.1	 	57.1	 	74.9	 	26.4	 	0	 	0.05	 	33.6	 	29.5	 	31.6	 	34.7	 	32.5	 	33.6	 													sfm
1989	1	11	25.4	 	9	 	133.8	 	3.24	 	45	 	28.3	 	37.8	 	100	 	91	 	96	 	36.9	 	0.02	 	0.02	 	33.7	 	29.8	 	32	 	34.7	 	32.6	 	33.6	 													sfm
1989	1	12	25.9	 	9.1	 	304.9	 	10.55	 	45.8	 	20	 	30.9	 	100	 	54.6	 	78.4	 	24.6	 	0	 	0.05	 	33.8	 	31.2	 	32.5	 	34.9	 	32.6	 	33.8	 													sfm
1989	1	13	12.7	 	3	 	181.9	 	11.79	 	39.8	 	14.5	 	27.1	 	95.5	 	39.2	 	72.9	 	18.7	 	0	 	0.06	 	33.7	 	29.5	 	32	 	34.9	 	32.8	 	33.8	 													sfm
1989	1	14	15.3	 	5.4	 	195.2	 	3.65	 	33.6	 	25.8	 	30.4	 	97	 	79.6	 	91.1	 	28	 	0.04	 	0.02	 	33.6	 	29.6	 	31.6	 	34.9	 	32.6	 	33.6	 													sfm
