STATION,STATION_NAME,LATITUDE,LONGITUDE
COOP:111302,CARMI 3 IL US,38.0733,-88.1805
COOP:115825,MORRIS 1 NW IL US,41.3708,-88.4336
COOP:111664,CISNE 2 S IL US,38.5047,-88.4094
COOP:111743,CLINTON 1 SSW IL US,40.1376,-88.9674
COOP:111549,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,41.995,-87.9336
COOP:112193,DECATUR WTP IL US,39.8288,-88.9505
COOP:116157,NEWTON IL US,38.9916,-88.1828
COOP:118179,SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT IL US,39.8447,-89.6839
COOP:110330,AUGUSTA IL US,40.2333,-90.9471
COOP:116711,PEORIA INTERNATIONAL AIRPORT IL US,40.6675,-89.6839
COOP:112687,EFFINGHAM IL US,39.1181,-88.6244
COOP:112923,FAIRBURY WWTP IL US,40.7511,-88.4983
COOP:114629,KASKASKIA RIVER NAVIGATION LOCK IL US,37.9842,-89.9492
COOP:113290,FULTON DAM IL US,41.8978,-90.1545
COOP:115272,MACKINAW 1 N IL US,40.5515,-89.334
COOP:115751,MOLINE QUAD CITY INTERNATIONAL AIRPORT IL US,41.46528,-90.52333
COOP:115079,LINCOLN IL US,40.1513,-89.338
COOP:118740,CHAMPAIGN 3 S IL US,40.084,-88.2404
COOP:110583,BELVIDERE IL US,42.255,-88.8644
COOP:117014,PROPHETSTOWN IL US,41.6752,-89.9374
COOP:118389,SULLIVAN 3 S IL US,39.5608,-88.6066
COOP:114317,HUTSONVILLE IL US,39.1138,-87.6563
COOP:110510,BELLEVILLE SIU RESEARCH IL US,38.518390000000004,-89.84076
COOP:114879,LANARK IL US,42.0919,-89.8421
COOP:113666,GREENFIELD IL US,39.342420000000004,-90.20599
COOP:115768,MONMOUTH IL US,40.9443,-90.6381
COOP:114957,LAWRENCEVILLE 2 WSW IL US,38.7267,-87.6899
COOP:118916,WALNUT IL US,41.5519,-89.5989
COOP:117187,REND LAKE DAM IL US,38.0405,-88.9883
COOP:117382,ROCKFORD GREATER ROCKFORD AIRPORT IL US,42.1927,-89.09299999999999
COOP:114078,HIDALGO 3 SW IL US,39.1396,-88.1905
COOP:112011,CRETE IL US,41.4491,-87.6222
COOP:113262,FREEPORT WWP IL US,42.2972,-89.6038
COOP:111284,CARLINVILLE 2 IL US,39.288000000000004,-89.8699
COOP:114198,HOOPESTON IL US,40.4664,-87.6851
COOP:114710,KEWANEE 1 E IL US,41.2429,-89.8997
COOP:114355,ILLINOIS CITY DAM 16 IL US,41.4255,-91.0094
COOP:115841,MORRISONVILLE IL US,39.4157,-89.4615
COOP:116610,PARIS STP IL US,39.6185,-87.6672
COOP:111577,CHICAGO MIDWAY AIRPORT 3 SW IL US,41.7372,-87.7775
COOP:114603,KANKAKEE METRO WASTEWATER IL US,41.135059999999996,-87.88564000000001
COOP:114805,LACON IL US,41.0187,-89.4153
COOP:119816,YATES CITY IL US,40.7763,-90.0203
COOP:113879,HARRISBURG IL US,37.7408,-88.5244
COOP:117077,QUINCY DAM 21 IL US,39.9035,-91.4284
COOP:111290,CARLYLE RESERVOIR IL US,38.6249,-89.363
COOP:115493,MC HENRY WG STRATTON LOCK AND DAM IL US,42.3102,-88.2525
COOP:117072,QUINCY REGIONAL AIRPORT IL US,39.93694,-91.19194
COOP:117391,ROCK ISLAND LOCK AND DAM 15 IL US,41.518,-90.5647
COOP:116185,NOKOMIS IL US,39.3052,-89.2827
COOP:117150,RANTOUL IL US,40.313,-88.1598
COOP:110082,ALEXIS 1 SW IL US,41.0579,-90.5654
COOP:110281,ASHLEY IL US,38.31245,-89.27242
COOP:112140,DANVILLE IL US,40.139,-87.6483
COOP:114442,JACKSONVILLE 2 E IL US,39.735279999999996,-90.21528
COOP:117876,SHELBYVILLE DAM IL US,39.4079,-88.7739
COOP:117833,SHABBONA 3 S IL US,41.7322,-88.8653
COOP:118204,ST. DAVID IL US,40.4927,-90.04700000000001
